Name,Latitude,Longitude,ID
GÖTEBORG,57.708895,11.973479,A=1@O=GÖTEBORG@X=11973479@Y=57708895@U=1@L=740098001@B=1@p=1737520614@
Göteborg Centralstation,57.708895,11.973479,A=1@O=Göteborg Centralstation@X=11973479@Y=57708895@U=1@L=740000002@B=1@p=1737520614@
Göteborg Sävenäs lokstation,57.725993,12.021077,A=1@O=Göteborg Sävenäs lokstation@X=12021077@Y=57725993@U=1@L=740016365@B=1@p=1737520614@
GÖTEBORG GAMLESTADEN,57.729148,12.004411,A=1@O=GÖTEBORG GAMLESTADEN@X=12004411@Y=57729148@U=1@L=740098526@B=1@p=1737520614@
Göteborg Korsvägen,57.696742,11.986918,A=1@O=Göteborg Korsvägen@X=11986918@Y=57696742@U=1@L=740015578@B=1@p=1737520614@
Göteborg Kungsportsplatsen,57.704023,11.969748,A=1@O=Göteborg Kungsportsplatsen@X=11969748@Y=57704023@U=1@L=740016358@B=1@p=1737520614@
Göteborg Stenpiren,57.705803,11.957424,A=1@O=Göteborg Stenpiren@X=11957424@Y=57705803@U=1@L=740072430@B=1@p=1737520614@
Göteborg Eketrägatan,57.716275,11.910285,A=1@O=Göteborg Eketrägatan@X=11910285@Y=57716275@U=1@L=740025624@B=1@p=1737520614@
Göteborg Vårväderstorget,57.713084,11.893097,A=1@O=Göteborg Vårväderstorget@X=11893097@Y=57713084@U=1@L=740025707@B=1@p=1737520614@
Göteborg Axel Dahlströms torg,57.672435,11.927445,A=1@O=Göteborg Axel Dahlströms torg@X=11927445@Y=57672435@U=1@L=740025608@B=1@p=1737520614@
LUND,55.708094,13.186897,A=1@O=LUND@X=13186897@Y=55708094@U=1@L=740098038@B=1@p=1737520614@
Lund Centralstation,55.708094,13.186897,A=1@O=Lund Centralstation@X=13186897@Y=55708094@U=1@L=740000120@B=1@p=1737520614@
Lund Univ-sjukhuset,55.713434,13.197099,A=1@O=Lund Univ-sjukhuset@X=13197099@Y=55713434@U=1@L=740016761@B=1@p=1737520614@
Lund LTH,55.712337,13.208039,A=1@O=Lund LTH@X=13208039@Y=55712337@U=1@L=740016755@B=1@p=1737520614@
Lund Solbjer,55.718405,13.234189,A=1@O=Lund Solbjer@X=13234189@Y=55718405@U=1@L=740009236@B=1@p=1737520614@
Lund MAX IV,55.725399,13.235861,A=1@O=Lund MAX IV@X=13235861@Y=55725399@U=1@L=740016602@B=1@p=1737520614@
Lund Brunnshögstorget,55.720661,13.231106,A=1@O=Lund Brunnshögstorget@X=13231106@Y=55720661@U=1@L=740075430@B=1@p=1737520614@
Lund ESS,55.730388,13.243619,A=1@O=Lund ESS@X=13243619@Y=55730388@U=1@L=740072041@B=1@p=1737520614@
Lund Telefonplan,55.716122,13.227159,A=1@O=Lund Telefonplan@X=13227159@Y=55716122@U=1@L=740017330@B=1@p=1737520614@
Lund Ideontorget,55.715618,13.214377,A=1@O=Lund Ideontorget@X=13214377@Y=55715618@U=1@L=740021814@B=1@p=1737520614@
